website,undergraduate_num,city,country,name,state,postgraduate_num,rank
www.stanford.edu,"6,999*(3)",斯坦福,美国,斯坦福大学 ,加利福尼亚州,"9,771*(3)",3
www.mit.edu,"4,527*(7)",剑桥,美国,麻省理工学院 ,马萨诸塞州,"6,804*(7)",2
www.harvard.edu,"≈6,700*(3)",剑桥（马萨诸塞州）,美国,哈佛大学 ,马萨诸塞州,"≈14,500*(3)",1
www.ox.ac.uk,"全日制11,380；非全日制5,275*(3)",牛津,英国,牛津大学 ,英格兰,"全日制7,515；非全日制1,735*(3)",5
www.berkeley.edu,"27,496 *(5)",伯克利,美国,加州大学伯克利分校 ,加利福尼亚州,"10,708*(5)",4
name,city,rank,state,postgraduate_num,website,undergraduate_num,country
加州大学戴维斯分校 ,戴维斯,48,加利福尼亚州,"7,720*(3)",www.ucdavis.edu,"28,384*(3)",美国
哈佛大学 ,剑桥（马萨诸塞州）,1,马萨诸塞州,"≈14,500*(3)",www.harvard.edu,"≈6,700*(3)",美国
加州大学圣克鲁兹分校 ,圣克鲁兹,43,加利福尼亚州,"1,637*(3)",www.ucsc.edu,"16,231*(3)",美国
匹兹堡大学 ,匹兹堡另有本科学院设在布兰德福德、格林斯堡、约翰斯敦和泰特斯维尔,44,宾夕法尼亚州,"7,577（不含Part-time），9,741（含Part-time）(4)",www.pitt.edu,"17,887（不含Part-time），18,908（含Part-time）*(3)",美国
俄亥俄州立大学 ,哥伦布,42,俄亥俄州,"13,374（哥伦布校区）*(4)",www.osu.edu,"45,289（哥伦布校区）*(4)",美国
科罗拉多大学博尔德分校 ,博尔德,40,科罗拉多州,"27,010*(5)",中北部学院及学校协会（NCACS）,"32,775",美国
昆士兰大学 ,布里斯班,41,昆士兰州,"12,585*(3)",www.uq.edu.au,"36,219*(3)",澳大利亚
伦敦大学国王学院 ,伦敦,37,英格兰,"全日制6,350；非全日制4,885*(2)",www.kcl.ac.u,"全日制13,505；非全日制2,905*(2)",英国
圣路易斯华盛顿大学 ,圣路易斯,32,密苏里州,"7,649（含Part-time）*(3)",中北部学院及学校协会（NCACS）*(4),"6,841（不含Part-time）*(3)",美国
悉尼大学 ,悉尼,34,新南威尔士州,"18,175*(3)",www.sydney.edu.au,"33,219*(3)",澳大利亚
加州大学圣塔芭芭拉分校 ,圣塔芭芭拉,28,加利福尼亚州,"2,890*(3)",www.ucsb.edu,"20,607*(3)",美国
威斯康辛大学麦迪逊分校 ,麦迪逊,30,威斯康辛州,"13,809*(4)",www.wisc.edu,"29,580*(4)",美国
纽约大学 ,纽约市,27,纽约州,"24,289*(3)",www.nyu.edu,"24,985*(3)",美国
康奈尔大学 ,伊萨卡,23,纽约州,"7,589*(3)",www.cornell.edu,"14,315*(3)",美国
爱丁堡大学 ,爱丁堡,29,苏格兰,"全日制6,485；非全日制935*(3)",www.ed.ac.uk,"全日制18, 650；非全日制290*(3)",英国
墨尔本大学 ,墨尔本,25,维多利亚州,"18,308*(3)",www.unimelb.edu.au,"22,146*(3)",澳大利亚
伦敦大学学院 ,伦敦,22,英格兰,"全日制9,750；非全日制3,260*(2)",www.ucl.ac.uk,"全日制14,625；非全日制785*(2)",英国
宾夕法尼亚大学 ,费城,19,宾夕法尼亚州,"11,669*(3)",www.upenn.edu,"9,726*(3)",美国
加州大学圣地亚哥分校 ,拉霍亚,16,加利福尼亚州,"26,590 *(5)",西部学校及学院协会（WASC）,"33,735",美国
帝国理工学院 ,伦敦,17,英格兰,"全日制5,895；非全日制1,445*(2)",www.imperial.ac.uk,"全日制8,885；非全日制0*(2)",英国
加州大学洛杉矶分校 ,洛杉矶,13,加利福尼亚州,"13,716*(3)",www.ucla.edu,"29,585*(3)",美国
耶鲁大学 ,纽黑文,12,康涅狄格州,"6,853*(6)",www.yale.edu,"5,532*(6)",美国
芝加哥大学 ,伊利诺伊州,14,美国,"5,844*(3)",中北部学院及学校协会（NCACS）,"12,962",3
普林斯顿大学 ,普林斯顿,9,新泽西州,"2,736*(3)",www.princeton.edu,"5,402*(3)",美国
加州理工学院 ,帕萨迪纳,6,加利福尼亚州,"1,254*(7)",www.caltech.edu,"1,001*(7)",美国
剑桥大学 ,剑桥,7,英格兰,"全日制6,485；非全日制935*(3)",www.cam.ac.uk,"全日制11,865；非全日制290*(3)",英国
华盛顿大学 ,华盛顿州,11,美国,"31,063*(3)",西北学院及大学认证委员会（NWCCU）*(3),"45,408",56*(2)
加州大学伯克利分校 ,伯克利,4,加利福尼亚州,"10,708*(5)",www.berkeley.edu,"27,496 *(5)",美国
牛津大学 ,牛津,5,英格兰,"全日制7,515；非全日制1,735*(3)",www.ox.ac.uk,"全日制11,380；非全日制5,275*(3)",英国
斯坦福大学 ,斯坦福,3,加利福尼亚州,"9,771*(3)",www.stanford.edu,"6,999*(3)",美国
麻省理工学院 ,剑桥,2,马萨诸塞州,"6,804*(7)",www.mit.edu,"4,527*(7)",美国
