性质,学校集团,title,class,成立年份,学校分类,研究生人数,网址,国际学生比例,汉译,师生比,校园,排名,州省,城市,认证机构,英译,宗教信仰,学生人数,本科生人数,校训,国家
			私立，男女合校			,			美国大学协会（AAU）			太平洋十二校联盟（Pacific-12）			隐藏常春藤			环太平洋大学联盟（APRU）*(1)			,斯坦福大学 ,3,			1891*(1)			,			全国性大学			,"			9,771*(3)			",			www.stanford.edu			,			本科：8.8%；研究生：33.5%*(3)			,			让自由之风劲吹			,			1:4*(4)			,			33.1Km2，市区*(1)			,			5*(2)			,			加利福尼亚州			,			斯坦福			,			西部学校及学院协会（WASC）*(3)			,			The wind of freedom blows			,			无			,"			16,770			","			6,999*(3)			",			Die Luft der Freiheit weht			,			美国			
			公立，男女合校			,			加州大学系统（UC）			美国大学协会（AAU）			公立常春藤（Public Ivy）			国际研究型大学联盟（IARU）			太平洋十二校联盟（Pac-12）*(1)			,加州大学伯克利分校 ,4,			1868*(1)			,			全国性大学			,"			10,708*(5)			",			www.berkeley.edu			,			14.9 %*(7)			,			要有光			,			1:17*(3)			,			4.99Km2，市区*(1)			,			21*(3)			,			加利福尼亚州			,			伯克利			,			西部学校及学院协会（WASC）*(3)			,,			无			,"			38,204			","			27,496 *(5)			",			Fiat lux (Let there be light)*(1)			,			美国			
			私立，男女合校			,			美国大学协会（AAU）			,麻省理工学院 ,2,			1861*(1)			,			全国性大学			,"			6,804*(7)			",			www.mit.edu			,			本科：9.7%*(7)			研究生：41.9%*(7)			,			理论与实践并重			,			1:8*(7)			,			0.68Km2，市区*(1)			,			5*(6)			,			马萨诸塞州			,			剑桥			,			新英格兰学校及学院协会（NEACS）			,,			无			,"			11,331			","			4,527*(7)			",			Mens et Manus (拉丁文)			,			美国			
			私立，男女合校			,			美国大学协会（AAU）			常春藤盟校			殖民地学院			,哈佛大学 ,1,			1636*(1)			,			全国性大学			,"			≈14,500*(3)			",			www.harvard.edu			,			本科：12%*(4)			,			真理			,			1:6*(4)			,			总面积20.6Km2，市区			其中核心校区0.85 Km2*(1)			,			2*(2)			,			马萨诸塞州			,			剑桥（马萨诸塞州）			,			新英格兰学校及学院协会（NEACS）			,,			无			,"			10,803			","			≈6,700*(3)			",			Veritas (Truth)			,			美国			
			公立，男女合校			,			罗素大学集团			金三角名校			G5超级精英学校			国际研究型大学联盟			欧洲研究型大学联盟			,牛津大学 ,5,			确切年份不可考，授课记录始自1096年*(1)			,			综合性大学			,"			全日制7,515；非全日制1,735*(3)			",			www.ox.ac.uk			,			本科：12.3%；研究生：56.5%*(3)			,			耶和华是我的亮光（语出《圣经》诗篇第27章）			,			1:2.2或1:4.0（计或不计非学术教师）*(3)			,			市区*(1)			,			QS世界：2(6)；Times国内：1			,			英格兰			,			牛津			,,,			无			,"			25,905（含全日制与非全日制）*(3)			","			全日制11,380；非全日制5,275*(3)			",			Dominus Illuminatio Mea (Latin)；英译：The Lord is my Light			,			英国			
网址,校训,州省,国家,国际学生比例,成立年份,校园,title,研究生人数,认证机构,英译,本科生人数,class,师生比,城市,学校分类,性质,汉译,宗教信仰,排名,学校集团,学生人数
www.stanford.edu,Die Luft der Freiheit weht,加利福尼亚州,美国,本科：8.8%；研究生：33.5%*(3),1891*(1),33.1Km2，市区*(1),斯坦福大学 ,"9,771*(3)",西部学校及学院协会（WASC）*(3),The wind of freedom blows,"6,999*(3)",3,1:4*(4),斯坦福,全国性大学,私立，男女合校,让自由之风劲吹,无,5*(2),美国大学协会（AAU）太平洋十二校联盟（Pacific-12）隐藏常春藤环太平洋大学联盟（APRU）*(1),"16,770"
www.berkeley.edu,Fiat lux (Let there be light)*(1),加利福尼亚州,美国,14.9 %*(7),1868*(1),4.99Km2，市区*(1),加州大学伯克利分校 ,"10,708*(5)",西部学校及学院协会（WASC）*(3),,"27,496 *(5)",4,1:17*(3),伯克利,全国性大学,公立，男女合校,要有光,无,21*(3),加州大学系统（UC）美国大学协会（AAU）公立常春藤（Public Ivy）国际研究型大学联盟（IARU）太平洋十二校联盟（Pac-12）*(1),"38,204"
www.harvard.edu,Veritas (Truth),马萨诸塞州,美国,本科：12%*(4),1636*(1),总面积20.6Km2，市区其中核心校区0.85 Km2*(1),哈佛大学 ,"≈14,500*(3)",新英格兰学校及学院协会（NEACS）,,"≈6,700*(3)",1,1:6*(4),剑桥（马萨诸塞州）,全国性大学,私立，男女合校,真理,无,2*(2),美国大学协会（AAU）常春藤盟校殖民地学院,"10,803"
www.ox.ac.uk,Dominus Illuminatio Mea (Latin)；英译：The Lord is my Light,英格兰,英国,本科：12.3%；研究生：56.5%*(3),确切年份不可考，授课记录始自1096年*(1),市区*(1),牛津大学 ,"全日制7,515；非全日制1,735*(3)",,,"全日制11,380；非全日制5,275*(3)",5,1:2.2或1:4.0（计或不计非学术教师）*(3),牛津,综合性大学,公立，男女合校,耶和华是我的亮光（语出《圣经》诗篇第27章）,无,QS世界：2(6)；Times国内：1,罗素大学集团金三角名校G5超级精英学校国际研究型大学联盟欧洲研究型大学联盟,"25,905（含全日制与非全日制）*(3)"
www.mit.edu,Mens et Manus (拉丁文),马萨诸塞州,美国,本科：9.7%*(7)研究生：41.9%*(7),1861*(1),0.68Km2，市区*(1),麻省理工学院 ,"6,804*(7)",新英格兰学校及学院协会（NEACS）,,"4,527*(7)",2,1:8*(7),剑桥,全国性大学,私立，男女合校,理论与实践并重,无,5*(6),美国大学协会（AAU）,"11,331"
